Name,IsLastYear,InLastTeam,Transfer,Year,Team,Age,Position,Games,PA,AtBats,R,H,2BH,3BH,HR,루타수,RBI,SB,CS,BB,HBP,IW,SO,DoublePlay,SacHit,SF,BA,OBP,SLG,OPS,wOBA,wRCplus,WPA,Salary,BattingRAA,StealingRAA,BRRAA,offtotRAA,DefenseRAA,PosRAA,deftotRAA,RAAadj,totRAA,repRun,RAR,RPW,WAA,WARBat,WAROff,WARStar,dWAA,WAR
김주형,FALSE,TRUE,N,2004,KIA,19,,47,83,74,7,12,2,0,2,20,8,0,1,6,0,0,17,0,0,3,0.162,0.217,0.27,0.487,0.224,22.6,,,-7.8,-0.4,-0.1,-8.2,0,0,0,-8.2,-8.2,4.2,-4.1,10.03,-0.8,-0.36,-0.4,-0.4,0,-0.4
김주형,FALSE,TRUE,N,2005,KIA,20,,39,114,99,6,17,3,0,0,20,6,0,0,9,4,1,25,3,2,0,0.172,0.268,0.202,0.47,0.229,29.2,,2200,-9.6,0,-0.5,-10.1,0,0,0,-10.1,-10.1,5.6,-4.5,9.88,-1,-0.4,-0.45,-0.45,0,-0.45
김주형,FALSE,TRUE,N,2006,KIA,21,,34,55,52,8,14,5,0,2,25,6,0,0,2,1,0,17,2,0,0,0.269,0.309,0.481,0.79,0.362,130.1,,2200,1.7,0,-0.2,1.5,0,0,0,1.5,1.5,2.5,4,8.92,0.2,0.47,0.44,0.44,0,0.44
김주형,FALSE,TRUE,N,2007,KIA,22,1B,36,120,108,14,25,7,0,6,50,16,1,1,5,4,0,30,3,2,1,0.231,0.288,0.463,0.751,0.334,103,,2500,0.4,-0.2,-0.3,-0.1,0,-2.4,-2.4,-0.1,-2.5,5.6,3.2,9.41,-0.3,0.64,0.59,0.34,0,0.34
김주형,FALSE,TRUE,N,2008,KIA,23,3B,62,156,146,10,33,8,0,2,47,12,0,1,5,3,0,30,3,0,2,0.226,0.263,0.322,0.585,0.274,58.2,,2500,-7.5,-0.5,-0.5,-8.5,0,0.6,0.6,-8.5,-7.9,7.6,-0.3,9.73,-0.8,0,-0.09,-0.03,0,-0.03
김주형,FALSE,TRUE,N,2011,KIA,26,1B,88,300,271,23,54,14,0,9,95,40,1,0,17,4,0,71,6,7,1,0.199,0.256,0.351,0.607,0.275,58.9,,2500,-14.5,0.2,-0.8,-15.1,0,-6.1,-6.1,-15.1,-21.2,14.7,-6.5,9.8,-2.2,0.02,-0.04,-0.66,0,-0.66
김주형,FALSE,TRUE,N,2012,KIA,27,1B,56,129,117,8,18,2,0,3,29,12,0,0,6,1,0,35,0,3,2,0.154,0.198,0.248,0.446,0.207,16.8,,4500,-11.6,-0.1,-0.2,-11.9,0,-2.5,-2.5,-11.9,-14.3,5.9,-8.4,9.17,-1.6,-0.62,-0.65,-0.92,0,-0.92
김주형,FALSE,TRUE,N,2013,KIA,28,1B,81,279,249,27,60,8,0,9,95,34,1,0,23,3,1,54,7,0,4,0.241,0.308,0.382,0.69,0.32,84.8,,3500,-5.1,0.1,-0.9,-5.9,0,-5.8,-5.8,-5.9,-11.7,13.9,2.2,9.97,-1.2,0.89,0.8,0.22,0,0.22
김주형,FALSE,TRUE,N,2014,KIA,29,1B,64,176,151,16,37,4,0,7,62,26,0,3,17,2,0,19,3,4,2,0.245,0.326,0.411,0.736,0.323,77.4,-0.04,6100,-6.6,-1.5,-0.5,-8.5,-1.1,-1.5,-2.6,-9.7,-11.2,10,-1.1,11.41,-1,0.3,0.13,0,-0.1,-0.1
김주형,FALSE,TRUE,N,2015,KIA,30,1B,45,88,83,2,19,3,0,2,28,3,0,0,3,2,0,22,3,0,0,0.229,0.273,0.337,0.61,0.278,51.1,-0.77,5500,-5.8,0,-1.1,-6.9,-5.3,-0.7,-6,-12.2,-12.9,4.8,-8.1,10.76,-1.2,-0.17,-0.27,-0.34,-0.5,-0.83
김주형,FALSE,TRUE,N,2016,KIA,31,SS,135,387,345,43,97,16,1,19,172,49,1,2,34,6,0,55,9,1,1,0.281,0.355,0.499,0.854,0.376,110.4,0.05,5500,5.3,-0.4,2.3,7.2,-6.1,-0.9,-7,1.1,0.2,22.1,22.2,11.33,0,2.08,2.25,2.17,-0.54,1.63
김주형,FALSE,TRUE,N,2017,KIA,32,3B,57,116,106,11,18,5,0,0,23,10,0,0,8,1,0,13,5,0,1,0.17,0.233,0.217,0.45,0.215,11.4,-0.63,11000,-14,0.1,0.4,-13.5,0.2,-0.1,0.1,-13.4,-13.4,6.4,-7.1,10.69,-1.3,-0.82,-0.78,-0.79,0.01,-0.77
김주형,TRUE,TRUE,N,2018,KIA,33,3B,6,8,8,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.125,0.125,0.125,0.25,0.115,-54.6,-0.04,7500,-1.7,0,0,-1.7,-0.2,0,-0.2,-2,-2,0.5,-1.5,11,-0.2,-0.13,-0.13,-0.12,-0.02,-0.14
김지수,FALSE,TRUE,N,2009,히어로즈,23,SS,15,4,3,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,-135,,,-1.2,0,0,-1.2,0,0.1,0.1,-1.2,-1.2,0.2,-1,10.74,-0.1,-0.09,-0.09,-0.09,0,-0.09
김지수,FALSE,TRUE,N,2010,넥센,24,2B,8,6,5,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0.167,0,0.167,0.122,-47.8,,,-1.1,0,0,-1.1,0,0,0,-1.1,-1.1,0.3,-0.8,10.47,-0.1,-0.08,-0.08,-0.08,0,-0.08
김지수,FALSE,TRUE,N,2013,넥센,27,2B,37,60,48,9,13,2,0,0,15,3,1,0,7,0,0,9,1,4,1,0.271,0.357,0.313,0.67,0.305,75.3,,2400,-1.8,0.2,-0.1,-1.7,0,0.2,0.2,-1.7,-1.4,3,1.6,9.97,-0.1,0.12,0.13,0.16,0,0.16
김지수,FALSE,TRUE,N,2014,넥센,28,SS,28,29,23,2,4,0,0,0,4,3,1,0,4,0,0,2,1,2,0,0.174,0.296,0.174,0.47,0.232,17.8,-0.19,3500,-3.4,0.2,-0.1,-3.3,0,0.4,0.4,-3.2,-2.9,1.7,-1.2,11.41,-0.3,-0.15,-0.14,-0.11,0,-0.11
