Name,IsLastYear,InLastTeam,Transfer,Year,Team,Age,Position,Games,PA,AtBats,R,H,2BH,3BH,HR,루타수,RBI,SB,CS,BB,HBP,IW,SO,DoublePlay,SacHit,SF,BA,OBP,SLG,OPS,wOBA,wRCplus,WPA,Salary,BattingRAA,StealingRAA,BRRAA,offtotRAA,DefenseRAA,PosRAA,deftotRAA,RAAadj,totRAA,repRun,RAR,RPW,WAA,WARBat,WAROff,WARStar,dWAA,WAR
손주인,FALSE,FALSE,N,2016,LG,33,2B,122,409,354,47,114,20,3,2,146,39,5,4,33,6,0,35,6,12,4,0.322,0.385,0.412,0.798,0.36,100.1,0.08,12000,-0.3,-0.5,-2.1,-2.9,6.3,1.8,8.1,3.4,5.2,23.3,28.6,11.21,0.5,1.68,1.45,1.61,0.56,2.17
손주인,FALSE,FALSE,N,2017,LG,34,2B,115,334,294,48,82,13,0,5,110,33,4,0,20,5,0,41,10,9,6,0.279,0.329,0.374,0.703,0.31,77.3,-0.87,20000,-10.5,1,0.4,-9.1,5,2.3,7.3,-4.1,-1.8,18.4,16.6,10.78,-0.2,0.42,0.55,0.76,0.46,1.22
손주인,FALSE,TRUE,Y,2018,삼성,35,2B,98,297,265,26,63,10,0,4,85,28,3,0,11,7,0,40,11,10,4,0.238,0.282,0.321,0.603,0.263,43.4,-1.49,18000,-23.8,0.7,0.7,-22.4,-1.3,1.1,-0.2,-23.7,-22.6,16.8,-5.8,11.03,-2.1,-0.92,-0.8,-0.7,-0.12,-0.82
손주인,TRUE,TRUE,N,2019,삼성,36,1B,20,35,31,2,6,0,0,1,9,4,0,1,2,0,0,6,3,2,0,0.194,0.242,0.29,0.533,0.235,31.3,-0.3,15000,-2.8,-0.4,-0.5,-3.8,-2.8,-0.2,-3,-6.5,-6.8,1.7,-5.1,9.66,-0.7,-0.15,-0.25,-0.27,-0.29,-0.56
양원혁,FALSE,TRUE,N,2015,LG,24,,3,2,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0.468,177.7,0,2700,0.2,0,-0.3,-0.1,-0.7,0,-0.7,-0.8,-0.8,0.1,-0.7,10.94,-0.1,0.03,0,0,-0.06,-0.06
양원혁,FALSE,TRUE,N,2018,LG,27,2B,7,6,5,3,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.4,0.5,0.4,0.9,0.428,151.8,-0.02,2900,0.4,0,0.3,0.7,0.1,0,0.1,0.8,0.8,0.3,1.1,11.25,0.1,0.06,0.09,0.09,0,0.1
양원혁,TRUE,TRUE,N,2019,LG,28,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,9.7,0,0,0,0,0,0
윤진호,FALSE,TRUE,N,2009,LG,23,SS,3,8,6,1,2,1,0,0,3,2,0,0,1,0,0,1,2,1,0,0.333,0.429,0.5,0.929,0.368,112,,,0.1,0,0,0.1,0,0.1,0.1,0.1,0.2,0.4,0.6,10.74,0,0.05,0.05,0.06,0,0.06
윤진호,FALSE,TRUE,N,2010,LG,24,SS,17,6,6,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,-129.9,,2400,-1.8,0,0,-1.8,0,0.1,0.1,-1.8,-1.7,0.3,-1.4,10.47,-0.2,-0.14,-0.14,-0.13,0,-0.13
윤진호,FALSE,TRUE,N,2011,LG,25,SS,75,99,88,11,14,4,0,0,18,2,2,1,6,0,0,26,3,5,0,0.159,0.213,0.205,0.417,0.194,3.2,,2600,-11.3,0,-0.1,-11.3,0,1.2,1.2,-11.3,-10.1,4.8,-5.3,9.8,-1,-0.65,-0.66,-0.54,0,-0.54
윤진호,FALSE,TRUE,N,2012,LG,26,2B,22,13,12,3,1,0,0,0,1,0,1,1,1,0,0,4,0,0,0,0.083,0.154,0.083,0.237,0.129,-37.3,,3300,-1.9,-0.2,0,-2.1,0,0,0,-2.1,-2.1,0.6,-1.5,9.17,-0.2,-0.15,-0.16,-0.16,0,-0.16
윤진호,FALSE,TRUE,N,2015,LG,29,3B,30,13,12,3,1,0,0,0,1,1,1,0,0,0,0,3,0,1,0,0.083,0.083,0.083,0.167,0.072,-85,0.08,3300,-3.2,0.2,0.8,-2.2,0.6,0.1,0.8,-1.6,-1.4,0.7,-0.7,10.71,-0.1,-0.25,-0.15,-0.14,0.06,-0.08
윤진호,FALSE,TRUE,N,2016,LG,30,SS,34,23,21,3,4,0,0,0,4,0,1,0,0,0,0,6,1,2,0,0.19,0.191,0.19,0.381,0.164,-28.3,0.03,3300,-4.2,0.2,0.1,-3.9,0.6,0.4,0.9,-3.3,-3,1.3,-1.6,11.17,-0.3,-0.28,-0.25,-0.22,0.05,-0.17
윤진호,FALSE,TRUE,N,2017,LG,31,3B,14,3,3,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.667,0.309,73.1,-0.13,4000,-0.1,0,0,-0.1,-0.9,0.1,-0.8,-1,-0.9,0.2,-0.7,10.91,-0.1,0,0,0.01,-0.08,-0.07
윤진호,FALSE,TRUE,N,2018,LG,32,2B,102,61,53,13,11,3,0,0,14,4,0,1,2,2,0,14,2,4,0,0.208,0.263,0.264,0.527,0.23,22,-0.81,4200,-6.7,-0.5,0.2,-7,0.2,0.7,0.9,-6.7,-6.1,3.5,-2.6,11.13,-0.5,-0.35,-0.37,-0.31,0.02,-0.29
윤진호,TRUE,TRUE,N,2019,LG,33,3B,105,62,59,6,6,2,0,1,11,5,1,1,1,0,0,13,0,2,0,0.102,0.117,0.186,0.303,0.133,-33.4,-0.88,6000,-9.7,-0.2,0.1,-9.8,3.8,0.6,4.4,-6,-5.4,3,-2.4,9.6,-0.6,-0.76,-0.77,-0.71,0.4,-0.31
윤정우,FALSE,FALSE,N,2011,KIA,23,CF,29,18,16,4,1,1,0,0,2,0,3,0,1,0,0,9,0,1,0,0.063,0.118,0.125,0.243,0.114,-50.6,,,-3.2,0.6,0,-2.6,0,0.1,0.1,-2.6,-2.5,0.9,-1.6,9.8,-0.3,-0.23,-0.17,-0.16,0,-0.16
